,Census Tract,Median Income,CT,Total Population,Voting Population,White,White %,White Voting Population,Black or African American,Black or African American %,Black or African American Voting Population,American Indian and Alaska Native,American Indian and Alaska Native %,American Indian and Alaska Native Voting Population,Asian,Asian %,Asian Voting Population,Native Hawaiian and Other Pacific Islander alone,Native Hawaiian and Other Pacific Islander %,Native Hawaiian and Other Pacific Islander Voting Population,Some other race,Some other race %,Some other race Voting Population,Two or more races,Two or more races %,Two or more races Voting Population
66,Census Tract 49.04,44365,004904,5787,4257,2847,0.491964748574,2094.29393468,671,0.115949542077,493.597200622,20,0.00345602211854,14.7122861586,1179,0.203732503888,867.289269051,54,0.00933125972006,39.7231726283,461,0.0796613098324,339.118195956,555,0.0959046137895,408.265940902
67,Census Tract 49.05,27039,004905,7283,4797,3425,0.47027323905,2255.90072772,2051,0.281614719209,1350.90580805,80,0.0109844844158,52.6925717424,933,0.128106549499,614.527117946,396,0.054373197858,260.828230125,204,0.0280104352602,134.366057943,194,0.0266373747082,127.779486475
68,Census Tract 49.06,43523,004906,3188,2376,1036,0.324968632371,772.125470514,809,0.253764115433,602.943538269,16,0.00501882057716,11.9247176913,767,0.240589711418,571.641154329,170,0.0533249686324,126.700125471,239,0.0749686323714,178.125470514,151,0.047365119197,112.539523212
69,Census Tract 50.01,39655,005001,9512,6774,4163,0.437657695542,2964.6932296,1479,0.155487804878,1053.27439024,107,0.0112489486964,76.2003784693,2580,0.271236333053,1837.3549201,233,0.0244953742641,165.931665265,310,0.032590412111,220.76745164,640,0.067283431455,455.777964676
70,Census Tract 50.02,26628,005002,6383,4931,2630,0.412031959893,2031.72959423,1376,0.215572614758,1062.98856337,28,0.00438665204449,21.6305812314,1378,0.215885947047,1064.53360489,200,0.0313332288892,154.504151653,343,0.053736487545,264.974620085,428,0.067053109823,330.638884537
71,Census Tract 51.01,35203,005101,4589,3258,2088,0.455001089562,1482.39354979,689,0.150141643059,489.161473088,11,0.00239703639137,7.80954456309,1215,0.264763565047,862.599694923,33,0.00719110917411,23.4286336893,158,0.0344301590761,112.17345827,395,0.0860753976901,280.433645674
72,Census Tract 51.02,41068,005102,5088,3798,2389,0.469536163522,1783.29834906,483,0.094929245283,360.541273585,200,0.0393081761006,149.29245283,1375,0.270243710692,1026.38561321,9,0.00176886792453,6.71816037736,237,0.0465801886792,176.911556604,395,0.0776336477987,294.85259434
73,Census Tract 52.01,20268,005201,3379,3132,1722,0.509618230246,1596.12429713,536,0.158626812666,496.819177271,24,0.00710269310447,22.2456348032,460,0.136134951169,426.374667061,23,0.00680674755845,21.3187333531,513,0.151820065108,475.500443918,101,0.029890500148,93.6170464635
74,Census Tract 52.02,63065,005202,3454,2971,2748,0.795599305153,2363.72553561,161,0.0466126230457,138.486103069,52,0.0150550086856,44.7284308049,137,0.0396641574986,117.842211928,0,0.0,0.0,166,0.0480602200347,142.786913723,190,0.0550086855819,163.430804864
75,Census Tract 52.04,74328,005204,4471,3579,3443,0.770073808991,2756.09416238,162,0.0362335048088,129.679713711,14,0.00313129053903,11.2068888392,311,0.0695593826884,248.953030642,5,0.00111831804965,4.00246029971,354,0.0791769179155,283.374189219,182,0.0407067770074,145.689554909
